site_name,date,site_UTM,site_UTM_error,weather,no_researchers,researcher_initials,start_air_temp,end_air_temp,start_time,end_time,species,snake_id_no,snake_UTM,snake_UTM_error,capture_time,SFD_body_swab_ID,no_lesions,SFD_lesion_swab_ID,age (A/J),sex (M/F),mass_g,svl_mm,total_length_mm,no_photographs,photo_ids,live_dead_frozen_skin,tick_sample_id,comments
Powerlines Riverview,2022-07-13,20T 0359874 UTM 5099469,3,"Light clounds,dark",2,"IA,KD",22,13,09:30,04:57,Maritime Garter,44,20T 0359471 UTM 5099346,3,2:35am,"B_044,Bd_044",0,NA,J,NA,22,283,378,20,"C253,C256,C258",live,NA,Has new scales/healed injury on upper body dark line down middle of tail scales
Powerlines Riverview,2022-07-13,20T 0359874 UTM 5099469,3,"Light clounds,dark",2,"IA,KD",22,13,09:30,04:57,Maritime Garter,45,20T 0359874 UTM 5099469,3,3:08am,"B_045,Bd_045",0,NA,J,NA,10,185,241,10,"C260,C264",live,NA,NA
Powerlines Riverview,2022-07-13,20T 0359874 UTM 5099469,3,"Light clounds,dark",2,"IA,KD",22,13,09:30,04:57,Red Bellied,46,20T 0359879 UTM 5099932,3,3:39am,"B_046,Bd_046",0,NA,A,M,12,197,236,15,"C232,C238,C252",live,NA,"Two wide black scales on upper tosro top,red belly dark color"
Powerlines Riverview,2022-07-13,20T 0359874 UTM 5099469,3,"Light clounds,dark",2,"IA,KD",22,13,09:30,04:57,Red Bellied,47,20T 0359879 UTM 5099932,3,3:39am,"B_047,Bd_047",0,NA,A,F,16,211,256,4,"C236,C242,C249,C262",live,NA,"Light tan colour with orange belly,marks on dorsal side and near cloaca,maybe gravid"
Powerlines Riverview,2022-07-13,20T 0359874 UTM 5099469,3,"Light clounds,dark",2,"IA,KD",22,13,09:30,04:57,Maritime Garter,48,20T 0359879 UTM 5099932,3,3:39am,"B_048,Bd_048",1,"L_048,Ld_048",A,M,32,340,422,3,"C234,C237,C248",live,NA,"From the nose in the forth row middle scale potiential leison ,darker spots there"
Memrancook acess road,2022-07-20,20T 0387834 UTM 5095996,20,sunny with light clouds,2,"IA,AM",NA,NA,NA,NA,Maritime Garter,49,20T 0387834 UTM 5095996,20,11:50,"B_049,Bd_049",0,NA,J,NA,6.5,276,357,2,"C266,C267",live,NA,"Found sunning,had to estimate GPS point ."
Lloyd Railine,2022-07-21,20T 0400020 UTM 5081414,5,Sunny,2,"IA,AM",13,21,06:30,09:35,Maritime Garter,50,20T 0399520 UTM 5081642,3,06:50,"B_050,Bd_050",0,NA,A,M,59,408,523,2,"C271,C272",live,NA,Light color scale on back of head
Lloyd Railine,2022-07-21,20T 0400020 UTM 5081414,5,Sunny,2,"IA,AM",13,21,06:30,09:35,Maritime Garter,51,20T 0399520 UTM 5081642,3,07:22,"B_051,Bd_051",0,NA,A,F,130,576,732,2,"C269,C280",live,NA,Full tail light spots on belly scale
Lloyd Railine,2022-07-21,20T 0400020 UTM 5081414,5,Sunny,2,"IA,AM",13,21,06:30,09:35,Maritime Garter,52,20T 0399520 UTM 5081642,3,07:22,"B_052,Bd_052",1,"L_052,Ld_052",A,M,64,490,597,2,"C270,C283",live,NA,Red on body leison on head
Lloyd Railine,2022-07-21,20T 0400020 UTM 5081414,5,Sunny,2,"IA,AM",13,21,06:30,09:35,Maritime Garter,53,20T 0399520 UTM 5081642,3,07:22,"B_053,Bd_053",1,"L_053,Ld_053",A,F,106,551,673,2,"C273,C279",live,NA,Scale deformation
