date,julian,plot_ID,group,plot_code,cloud_cover,current_precipitation,air_temp,humidity,,VWC,soil_temp,soil_pH,preceding_24h_rainfall,DSR,salamander_ID,species,social_status,group_size,mass_g,svl_mm,total_length_mm,sex,morph,gravid,age,zone,easting,northing,YSHR
30-08-2022,22242,6,control,T,1,0,24,42,UNK,42,14.4,4.9,0,3,T1017,RB,A,NA,0.32,26.20,49.10,J,RB,NA,J,19 T,704948,5095923,0
30-08-2022,22242,6,control,T,1,0,24,42,UNK,42,14.4,4.9,0,3,T1025,RB,A,NA,0.39,29.50,57.60,J,RB,n,J,19 T,704948,5095923,0
30-08-2022,22242,6,control,T,1,0,24,42,UNK,42,14.4,4.9,0,3,T1014,RB,A,NA,1.00,45.33,67.60,F,RB,NA,A,19 T,704948,5095923,0
30-08-2022,22242,6,control,T,1,0,24,42,UNK,42,14.4,4.9,0,3,T1006,RB,G,4,0.06,14.74,18.32,J,RB,n,J,19 T,704948,5095923,0
30-08-2022,22242,6,control,T,1,0,24,42,UNK,42,14.4,4.9,0,3,T1012,RB,G,3,0.06,15.18,22.14,J,LB,n,J,19 T,704948,5095923,0
30-08-2022,22242,6,control,T,1,0,24,42,UNK,42,14.4,4.9,0,3,T1003,RB,A,NA,0.86,39.06,78.10,F,RB,n,A,19 T,704948,5095923,0
30-08-2022,22242,6,control,T,1,0,24,42,UNK,42,14.4,4.9,0,3,T1009,RB,A,NA,1.00,42.80,77.90,M,RB,n,A,19 T,704948,5095923,0
30-08-2022,22242,6,control,T,1,0,24,42,UNK,42,14.4,4.9,0,3,T1013,RB,A,NA,0.79,40.37,75.27,M,RB,n,A,19 T,704948,5095923,0
30-08-2022,22242,6,control,T,1,0,24,42,UNK,42,14.4,4.9,0,3,T1020,RB,A,NA,0.83,39.70,76.20,M,RB,NA,A,19 T,704948,5095923,0
30-08-2022,22242,6,control,T,1,0,24,42,UNK,42,14.4,4.9,0,3,T1021,RB,A,NA,0.87,39.00,72.80,M,RB,NA,A,19 T,704948,5095923,0
30-08-2022,22242,6,control,T,1,0,24,42,UNK,42,14.4,4.9,0,3,T1026,RB,A,NA,0.78,39.40,75.50,M,RB,n,A,19 T,704948,5095923,0
30-08-2022,22242,6,control,T,1,0,24,42,UNK,42,14.4,4.9,0,3,T1027,RB,A,NA,0.94,39.90,78.70,M,RB,n,A,19 T,704948,5095923,0
30-08-2022,22242,6,control,T,1,0,24,42,UNK,42,14.4,4.9,0,3,T1004,RB,A,NA,1.09,42.00,73.70,F,RB,n,A,19 T,704948,5095923,0
30-08-2022,22242,6,control,T,1,0,24,42,UNK,42,14.4,4.9,0,3,T1024,RB,A,NA,0.80,35.60,49.10,M,RB,n,A,19 T,704948,5095923,0
30-08-2022,22242,6,control,T,1,0,24,42,UNK,42,14.4,4.9,0,3,T1005,RB,G,4,0.78,42.37,81.54,F,RB,NA,A,19 T,704948,5095923,0
03-08-2022,22215,7,control,K,1,0,20,68,85.3,38.6,15.2,4.09,0,2,K1001,RB,A,NA,0.39,29.41,56.58,J,RB,n,J,19 T,705627,5098490,0
03-08-2022,22215,7,control,K,1,0,20,68,85.3,38.6,15.2,4.09,0,2,K1003,RB,A,NA,0.20,29.13,58.26,J,RB,y,J,19 T,705627,5098490,0
03-08-2022,22215,7,control,K,1,0,20,68,85.3,38.6,15.2,4.09,0,2,K1004,RB,A,NA,0.23,28.70,50.34,J,RB,n,J,19 T,705627,5098490,0
03-08-2022,22215,7,control,K,1,0,20,68,85.3,38.6,15.2,4.09,0,2,K1005,RB,A,NA,0.38,29.61,56.90,J,RB,NA,J,19 T,705627,5098490,0
03-08-2022,22215,7,control,K,1,0,20,68,85.3,38.6,15.2,4.09,0,2,K1006,RB,A,NA,0.39,29.36,57.69,J,RB,n,J,19 T,705627,5098490,0
03-08-2022,22215,7,control,K,1,0,20,68,85.3,38.6,15.2,4.09,0,2,K1002,RB,A,NA,0.32,29.34,51.47,J,RB,NA,J,19 T,705627,5098490,0
03-08-2022,22215,7,control,K,1,0,20,68,85.3,38.6,15.2,4.09,0,2,K1009,RB,A,NA,0.93,40.82,81.83,M,RB,n,A,19 T,705627,5098490,0
03-08-2022,22215,7,control,K,1,0,20,68,85.3,38.6,15.2,4.09,0,2,K1010,RB,A,NA,1.07,41.52,84.03,M,RB,n,A,19 T,705627,5098490,0
03-08-2022,22215,7,control,K,1,0,20,68,85.3,38.6,15.2,4.09,0,2,K1011,RB,A,NA,0.65,40.07,71.15,M,RB,NA,A,19 T,705627,5098490,0
03-08-2022,22215,7,control,K,1,0,20,68,85.3,38.6,15.2,4.09,0,2,K1007,RB,A,NA,0.78,40.93,88.02,F,RB,n,A,19 T,705627,5098490,0
03-08-2022,22215,7,control,K,1,0,20,68,85.3,38.6,15.2,4.09,0,2,K1008,RS,A,NA,0.28,19.49,38.80,J,RB,n,J,19 T,705627,5098490,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1018,RB,A,NA,1.07,43.06,84.90,F,RB,n,A,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1020,RB,A,NA,1.05,39.54,77.28,F,RB,n,A,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1021,RB,A,NA,0.75,40.56,73.99,F,RB,n,A,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1026,RB,A,NA,0.82,38.68,77.76,F,RB,n,A,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1027,RB,A,NA,0.86,39.13,77.04,F,RB,NA,A,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1035,RB,A,NA,1.05,42.30,85.90,F,RB,NA,A,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1042,RB,A,NA,0.40,31.90,66.40,F,RB,n,A,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1049,RB,A,NA,0.46,36.20,67.30,F,RB,n,A,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1053,RB,G,2,0.78,35.50,68.10,F,RB,n,A,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1056,RB,A,NA,0.93,40.00,80.00,F,RB,n,A,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1058,RB,A,NA,0.43,33.60,69.20,F,RB,n,A,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1060,RB,G,3,0.93,38.90,75.10,F,RB,n,A,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1062,RB,G,3,0.79,36.20,69.80,F,RB,n,A,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1001,RB,A,NA,0.10,23.26,42.95,J,RB,n,J,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1002,RB,A,NA,0.16,22.43,41.11,J,RB,NA,J,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1003,RB,A,NA,0.08,20.18,37.16,J,RB,NA,J,19 T,706453,5099581,0
12-08-2022,22224,8,control,A,2,0,25,88,83.8,24.9,15.5,2.5,0,1,A1004,RB,A,NA,0.21,29.81,56.31,J,RB,n,J,19 T,706453,5099581,0
